model,baseline_mean_ms,duplicate_mean_ms,overhead_pct,baseline_total_ms,duplicate_total_ms,baseline_median_ms,duplicate_median_ms,timed_batches,samples,standalone_calls,direct_calls,fallback_calls,strict,duplicate_extension,duplicate_cta_runtime
resnet,6.140698895454407,16.42749574661255,167.51833995268592,614.0698895454407,1642.7495746612549,5.681743860244751,13.771680355072021,100,10000,2121,0,0,True,torch_cutlass_test_conv_ext_v1_ctadup,True
mobilenet,13.308114614486694,29.091077766418458,118.59653759482237,1330.8114614486694,2909.1077766418457,12.52023983001709,28.58921527862549,100,10000,3535,1717,0,True,torch_cutlass_test_conv_ext_v1_ctadup,True
shufflenet,13.782897963523865,26.124335708618165,89.54167532659419,1378.2897963523865,2612.4335708618164,12.389535903930664,23.914480209350586,100,10000,2828,1919,909,False,torch_cutlass_test_conv_ext_v1_ctadup,True
