label,setup,timed_batches,event_mean_ms_under_nsys,event_median_ms_under_nsys,nvtx_batch_mean_ms,nvtx_batch_total_ms,gpu_kernel_total_ms,gpu_kernel_count,standalone_cutlass_conv_total_ms,standalone_cutlass_conv_count,event_overhead_pct_vs_pytorch,nvtx_overhead_pct_vs_pytorch,gpu_kernel_overhead_pct_vs_pytorch,standalone_calls,fallback_calls,nsys_rep
pytorch_original,pytorch_original,100,7.096659858226776,5.844848155975342,7.20012186,720.012186,163.942024,16330,0.0,0,0.0,0.0,0.0,,,resnet_pytorch_original.nsys-rep
custom_conv_fresh,custom_conv_fresh,100,8.079497628211975,6.880256175994873,8.10741898,810.741898,605.067973,16459,454.390165,2121,13.849300792482655,12.601135614668602,269.07435826216226,2121,0,resnet_custom_conv_fresh.nsys-rep
custom_conv_cutlass_test_rerun,custom_conv_cutlass_test,100,7.88397469997406,6.824671983718872,8.0288124,802.88124,582.600409,16459,438.116911,2121,11.094160597743642,11.50939603680541,255.36977938005694,2121,0,resnet_custom_conv_cutlass_test_rerun.nsys-rep
custom_conv_cutlass_test_first,custom_conv_cutlass_test,100,9.817806425094604,6.8430399894714355,9.878753029999999,987.875303,456.179532,16459,342.847736,2121,38.34404665334705,37.20258104076031,178.25661832746437,2121,0,resnet_custom_conv_cutlass_test.nsys-rep
