model,setup,strict,timed_batches,mean_ms,median_ms,p95_ms,min_ms,max_ms,accuracy_pct,overhead_pct_vs_pytorch_mean,standalone_calls,direct_calls,fallback_calls
mobilenet,custom_conv_cutlass_test,True,100,13.465342674255371,12.533295631408691,21.732799530029297,12.429696083068848,22.356735229492188,74.31,57.25884453999195,3535,1717,0
mobilenet,custom_conv_fresh,True,100,14.364068422317505,12.56284761428833,21.43734359741211,12.450912475585938,32.222206115722656,74.31,67.75486949216842,3535,1717,0
mobilenet,pytorch_original,True,100,8.562534408569336,8.100592136383057,10.17142391204834,6.313536167144775,31.232927322387695,74.3,0.0,,,
resnet,custom_conv_cutlass_test,True,100,5.954561920166015,5.713088035583496,6.499551773071289,5.660160064697266,10.708255767822266,68.84,57.97291860949987,2121,0,0
resnet,custom_conv_fresh,True,100,6.213713917732239,5.894815921783447,6.470143795013428,5.855423927307129,18.13145637512207,68.84,64.848151072928,2121,0,0
resnet,pytorch_original,True,100,3.7693561482429505,3.7184640169143677,3.97760009765625,2.111743927001953,5.805791854858398,68.82,0.0,,,
shufflenet,custom_conv_cutlass_test,False,100,13.47906716823578,12.424527645111084,20.937471389770508,7.450079917907715,28.18671989440918,72.62,14.777507161120539,2828,1919,909
shufflenet,custom_conv_fresh,False,100,13.716068811416626,12.335216045379639,24.756128311157227,7.916384220123291,35.64710235595703,72.62,16.79563330129521,2828,1919,909
shufflenet,pytorch_original,True,100,11.743648648262024,9.431568145751953,22.023807525634766,5.475391864776611,33.244895935058594,72.64,0.0,,,
